,anticluster_stimuli,Var2,Freq,task
167,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/usbcable01a,1,3
187,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/punchingball,1,3
191,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/kiddiepool,1,3
223,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/nose,1,3
239,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/flipflop01b,1,3
247,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/hockeygoalieglove,1,3
267,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/salsa,1,3
291,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/stovetop,1,3
303,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/railwaycrossingsign,1,3
315,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/boxingglove01,1,3
335,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/couch02,1,3
355,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bucket02,1,3
367,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/star,1,3
379,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/brainmodel,1,3
399,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/scissorlift,1,3
411,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/parachute,1,3
419,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/pin,1,3
447,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/spacerover,1,3
479,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/treestump,1,3
511,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/magneticcompass,1,3
527,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bolt01a,1,3
543,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/funnel,1,3
551,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gardenutilityvehicle,1,3
563,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/crosscountryboot,1,3
571,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/honeycomb,1,3
583,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/outdoorchair,1,3
587,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/phonejack,1,3
591,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/slushiemachine,1,3
607,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shoulderpad,1,3
619,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cashregister01,1,3
639,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/trailer,1,3
659,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bowlofchips,1,3
675,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/lilypad,1,3
687,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/generator,1,3
