"","observation","trial","load","stimulus_type","ended_on","url_code","trial_type","trial_seq","color_offset","color_angle_test","color_angle_deviation","color_angle_abs_deviation","stimulus_seq"
"69","11271","pm",1,"ongoing","response","14432423","ongoing",1,73.4682042829512,90.4580951324231,1.45892486757691,1.45892486757691,4
"70","11271","pm",1,"ongoing","response","14432423","ongoing",1,-169.096046582745,-111.244523411389,23.3147234113894,23.3147234113894,5
"71","11271","pm",1,"ongoing","response","14432423","ongoing",1,178.978574247161,-77.3636818189123,19.6252818189123,19.6252818189123,6
"72","11271","pm",1,"ongoing","response","14432423","ongoing",1,77.9816946629086,145.537666468414,-6.95218646841374,6.95218646841374,7
"73","11271","pm",1,"ongoing","response","14432423","ongoing",1,171.632889790025,129.042998565561,27.2032414344392,27.2032414344392,8
"74","11271","pm",1,"ongoing","response","14432423","ongoing",1,-124.519232476965,-57.0144321494333,-6.71356785056673,6.71356785056673,9
"75","11271","pm",1,"ongoing","response","14432423","ongoing",1,177.363764725701,73.524341948611,6.74248805138905,6.74248805138905,10
"76","11271","pm",1,"ongoing","response","14432423","ongoing",1,32.0222568185789,-36.7883776246846,-1.11132237531535,1.11132237531535,11
"77","11271","pm",1,"ongoing","response","14432423","ongoing",1,24.0573962485169,53.288861544953,5.10383845504703,5.10383845504703,12
"78","11271","pm",1,"ongoing","response","14432423","ongoing",1,-111.980161120633,1.00360674491787,-2.06370674491791,2.06370674491791,13
"79","11271","pm",1,"ongoing","response","14432423","ongoing",1,-86.2773254173127,-66.3341504430728,10.0425504430727,10.0425504430727,14
"80","11271","pm",1,"ongoing","response","14432423","ongoing",1,-16.4390321581808,161.352025199998,-10.7730151999979,10.7730151999979,15
"81","11271","pm",1,"ongoing","response","14432423","ongoing",1,14.3281612533913,151.403068310083,-4.49768831008259,4.49768831008259,16
"82","11271","pm",1,"ongoing","response","14432423","ongoing",1,80.9348694433223,85.9045415317992,-7.0742415317992,7.0742415317992,17
"83","11271","pm",1,"prom_spec","response","14432423","prom",1,108.859363316493,-136.731870148548,4.73187014854773,4.73187014854773,18
"84","11271","pm",1,"ongoing","response","14432423","ongoing",1,172.727919135467,-0.517235513103742,-28.0917644868962,28.0917644868962,19
"85","11271","pm",1,"ongoing","response","14432423","ongoing",1,149.26171842585,85.4496470304601,-2.49785703046018,2.49785703046018,20
"86","11271","pm",1,"ongoing","response","14432423","ongoing",1,154.503121294209,-14.5843825212326,-26.8230174787675,26.8230174787675,21
"87","11271","pm",1,"ongoing","response","14432423","ongoing",1,-85.0987992929661,17.8655270757368,-5.93762707573683,5.93762707573683,22
"88","11271","pm",1,"ongoing","response","14432423","ongoing",1,16.5182854269535,83.2928834180868,4.28256658191322,4.28256658191322,23
"89","11271","pm",1,"ongoing","response","14432423","ongoing",1,74.5400846291172,122.733166845145,-7.9577268451452,7.9577268451452,24
"90","11271","pm",1,"ongoing","response","14432423","ongoing",1,30.4985442769163,95.4856021529652,31.9037778470349,31.9037778470349,25
"91","11271","pm",1,"ongoing","response","14432423","ongoing",1,92.5775557655336,-67.9095874945262,-18.8314125054737,18.8314125054737,26
"92","11271","pm",1,"ongoing","response","14432423","ongoing",1,108.160622496325,78.2392691904632,-4.48116919046322,4.48116919046322,27
"93","11271","pm",1,"ongoing","response","14432423","ongoing",1,-13.5765510997094,-64.1015436062967,5.5448436062967,5.5448436062967,28
"94","11271","pm",1,"ongoing","response","14432423","ongoing",1,56.5836288233217,53.6564094209508,-4.21970942095084,4.21970942095084,29
"95","11271","pm",1,"ongoing","response","14432423","ongoing",1,-158.48149391425,31.8008159602263,-1.36051596022628,1.36051596022628,30
"96","11271","pm",1,"ongoing","response","14432423","ongoing",1,32.8164825609986,38.4391808392952,-12.6959808392952,12.6959808392952,31
"97","11271","pm",1,"ongoing","response","14432423","ongoing",1,-4.84070393143671,89.5003547550593,18.9912452449407,18.9912452449407,32
"98","11271","pm",1,"ongoing","response","14432423","ongoing",1,120.138854082722,81.6209158627568,4.65878413724317,4.65878413724317,33
"99","11271","pm",1,"ongoing","response","14432423","ongoing",1,177.221714752999,50.4553819741699,-14.7657819741698,14.7657819741698,34
"100","11271","pm",1,"ongoing","response","14432423","ongoing",1,-52.4139088992179,-44.6204336238185,23.4824336238185,23.4824336238185,35
"101","11271","pm",1,"ongoing","response","14432423","ongoing",1,-157.690586895663,34.4981903723443,8.07140962765573,8.07140962765573,36
"102","11271","pm",1,"ongoing","response","14432423","ongoing",1,141.897825515095,-18.5516569900724,-2.77394300992762,2.77394300992762,37
"103","11271","pm",1,"ongoing","response","14432423","ongoing",1,151.045191093345,157.055947591985,-12.2782675919849,12.2782675919849,38
