,X,observation,trial,load,stimulus_type,ended_on,url_code,trial_type,trial_seq,color_offset,color_angle_test,color_angle_deviation,color_angle_abs_deviation,stimulus_seq
12233,36673,a79b6,baseline1,5,ongoing,response,662908787,ongoing,5,-92.8313949302523,-55.8994536217456,29.8994536217456,29.8994536217456,45
12234,36725,a79b6,baseline1,5,ongoing,response,662908787,ongoing,1,89.748656734495,-37.1946186871544,17.1946186871544,17.1946186871544,46
12235,36734,a79b6,baseline1,5,ongoing,response,662908787,ongoing,2,86.3371366782324,70.5047038431682,3.49529615683184,3.49529615683184,47
12236,36743,a79b6,baseline1,5,ongoing,response,662908787,ongoing,3,108.820842265574,112.368779925601,60.6312200743987,60.6312200743987,48
12237,36752,a79b6,baseline1,5,ongoing,response,662908787,ongoing,4,153.670971605234,-56.7785512116876,-98.2214487883124,98.2214487883124,49
12238,36761,a79b6,baseline1,5,ongoing,response,662908787,ongoing,5,-25.0498505137099,157.736776088302,114.263223911698,114.263223911698,50
12239,36813,a79b6,baseline1,5,ongoing,response,662908787,ongoing,1,103.285669302819,-66.1156587377338,-16.8843412622662,16.8843412622662,51
12240,36822,a79b6,baseline1,5,ongoing,response,662908787,ongoing,2,-124.959216074118,-161.346845302888,-4.65315469711209,4.65315469711209,52
12241,36831,a79b6,baseline1,5,ongoing,response,662908787,ongoing,3,-125.573213228867,118.40086248477,17.5991375152298,17.5991375152298,53
12242,36840,a79b6,baseline1,5,ongoing,response,662908787,ongoing,4,-86.7598026581242,-87.1727711707936,81.1727711707936,81.1727711707936,54
12243,36849,a79b6,baseline1,5,ongoing,response,662908787,ongoing,5,145.15529311534,82.0555566629653,0.944443337034727,0.944443337034727,55
12244,36901,a79b6,baseline1,5,ongoing,response,662908787,ongoing,1,16.4674833965096,-83.5803539538866,-108.419646046113,108.419646046113,56
12245,36910,a79b6,baseline1,5,ongoing,response,662908787,ongoing,2,-91.5716336053111,-4.50418641666954,-27.4958135833305,27.4958135833305,57
12246,36919,a79b6,baseline1,5,ongoing,response,662908787,ongoing,3,-143.74126743816,-141.316482957059,-115.683517042941,115.683517042941,58
12247,36928,a79b6,baseline1,5,ongoing,response,662908787,ongoing,4,-149.1319751588,99.5713287622792,164.428671237721,164.428671237721,59
12248,36937,a79b6,baseline1,5,ongoing,response,662908787,ongoing,5,-22.5486872015215,-42.7602188500713,-90.2397811499287,90.2397811499287,60
12249,36989,a79b6,baseline1,5,ongoing,response,662908787,ongoing,1,-29.2804639464013,-103.612638275268,22.6126382752682,22.6126382752682,61
12250,36998,a79b6,baseline1,5,ongoing,response,662908787,ongoing,2,-139.993488728163,154.51662529722,-65.5166252972199,65.5166252972199,62
12251,37007,a79b6,baseline1,5,ongoing,response,662908787,ongoing,3,-125.32509694958,-136.156812075323,2.15681207532305,2.15681207532305,63
12252,37016,a79b6,baseline1,5,ongoing,response,662908787,ongoing,4,179.109483582568,-87.3856288066844,-127.614371193316,127.614371193316,64
12253,37025,a79b6,baseline1,5,ongoing,response,662908787,ongoing,5,86.2019497475873,58.9089516038481,-82.9089516038481,82.9089516038481,65
12254,37077,a79b6,baseline1,5,ongoing,response,662908787,ongoing,1,-62.3438552755453,-95.2866308744554,10.2866308744553,10.2866308744553,66
12255,37086,a79b6,baseline1,5,ongoing,response,662908787,ongoing,2,-170.887125765838,-123.696421914849,-28.3035780851513,28.3035780851513,67
12256,37095,a79b6,baseline1,5,ongoing,response,662908787,ongoing,3,127.698055828923,153.367995343791,-66.3679953437907,66.3679953437907,68
12257,37104,a79b6,baseline1,5,ongoing,response,662908787,ongoing,4,-85.8948911345559,135.825619746385,17.174380253615,17.174380253615,69
12258,37113,a79b6,baseline1,5,ongoing,response,662908787,ongoing,5,91.1489676338869,-35.3813638016387,7.3813638016386,7.3813638016386,70
12259,37165,a79b6,baseline1,5,ongoing,response,662908787,ongoing,1,150.215067018198,142.239739455654,-2.23973945565399,2.23973945565399,71
12260,37174,a79b6,baseline1,5,ongoing,response,662908787,ongoing,2,-72.6945040643721,-7.83477116719666,-7.16522883280334,7.16522883280334,72
12261,37183,a79b6,baseline1,5,ongoing,response,662908787,ongoing,3,41.2199145920846,-60.2690067377346,-12.7309932622654,12.7309932622654,73
12262,37192,a79b6,baseline1,5,ongoing,response,662908787,ongoing,4,142.739956555101,97.4256322323031,-12.4256322323031,12.4256322323031,74
12263,37201,a79b6,baseline1,5,ongoing,response,662908787,ongoing,5,-129.194629175884,-129.627316730157,0.62731673015719,0.62731673015719,75
12264,37253,a79b6,baseline1,5,ongoing,response,662908787,ongoing,1,-156.322186565769,163.681314785792,-67.681314785792,67.681314785792,76
12265,37262,a79b6,baseline1,5,ongoing,response,662908787,ongoing,2,-47.6254003181122,-36.3302898427369,19.3302898427369,19.3302898427369,77
12266,37271,a79b6,baseline1,5,ongoing,response,662908787,ongoing,3,-176.679395605065,-74.4853202105691,-2.51467978943083,2.51467978943083,78
12267,37280,a79b6,baseline1,5,ongoing,response,662908787,ongoing,4,-153.740441194237,170.260027373165,3.73997262683497,3.73997262683497,79
12268,37289,a79b6,baseline1,5,ongoing,response,662908787,ongoing,5,-25.6382674065175,168.020022766736,37.9799772332635,37.9799772332635,80
12269,37341,a79b6,baseline1,5,ongoing,response,662908787,ongoing,1,-26.6107518661995,-122.648924438796,-32.3510755612038,32.3510755612038,81
12270,37350,a79b6,baseline1,5,ongoing,response,662908787,ongoing,2,116.105447940669,-68.5256336127836,-15.4743663872164,15.4743663872164,82
12271,37359,a79b6,baseline1,5,ongoing,response,662908787,ongoing,3,-75.7396841597126,94.528972383285,2.47102761671499,2.47102761671499,83
12272,37368,a79b6,baseline1,5,ongoing,response,662908787,ongoing,4,65.4399541895004,-29.6031057802703,-16.3968942197297,16.3968942197297,84
12273,37377,a79b6,baseline1,5,ongoing,response,662908787,ongoing,5,170.210490032,159.680338480303,-5.68033848030348,5.68033848030348,85
12274,37556,a79b6,pm,5,ongoing,response,662908787,ongoing,1,-169.479597194688,31.1489350786485,-30.0128350786485,30.0128350786485,1
12275,37565,a79b6,pm,5,ongoing,response,662908787,ongoing,2,-21.0885445316264,-130.895483403172,-28.1139865968279,28.1139865968279,2
12276,37574,a79b6,pm,5,ongoing,response,662908787,ongoing,3,6.92171473610279,-88.8827004580455,3.72895045804557,3.72895045804557,3
12277,37583,a79b6,pm,5,ongoing,response,662908787,ongoing,4,45.2505547543684,-23.8017130776584,11.7671530776583,11.7671530776583,4
12278,37592,a79b6,pm,5,ongoing,response,662908787,ongoing,5,-45.0451676688444,30.6242736356437,19.6718863643563,19.6718863643563,5
12279,37644,a79b6,pm,5,ongoing,response,662908787,ongoing,1,141.724677351142,22.4079931020181,22.9462068979819,22.9462068979819,6
12280,37653,a79b6,pm,5,ongoing,response,662908787,ongoing,2,-30.9883010105632,-129.635232374594,-2.07574762540548,2.07574762540548,7
12281,37662,a79b6,pm,5,ongoing,response,662908787,ongoing,3,49.1154652792096,158.281860445287,20.0516295547131,20.0516295547131,8
12282,37671,a79b6,pm,5,ongoing,response,662908787,ongoing,4,118.641912543705,-25.892959870175,-1.22776012982501,1.22776012982501,9
12283,37680,a79b6,pm,5,ongoing,response,662908787,ongoing,5,-87.3872772485866,45.6109446270448,-120.325754627045,120.325754627045,10
12284,37732,a79b6,pm,5,ongoing,response,662908787,ongoing,1,41.0040484281365,-127.774887737473,-22.8973422625272,22.8973422625272,11
12285,37741,a79b6,pm,5,ongoing,response,662908787,ongoing,2,-92.7188484628165,62.9536690594696,-4.92899905946956,4.92899905946956,12
12286,37750,a79b6,pm,5,ongoing,response,662908787,ongoing,3,-51.2153271273191,-63.227681082794,-23.546588917206,23.546588917206,13
12287,37759,a79b6,pm,5,ongoing,response,662908787,ongoing,4,-175.387820244224,-22.2531055227462,3.13580552274618,3.13580552274618,14
12288,37768,a79b6,pm,5,ongoing,response,662908787,ongoing,5,175.725940191506,160.774777424276,-3.09367742427571,3.09367742427571,15
12289,37820,a79b6,pm,5,ongoing,response,662908787,prom,1,-62.823752882705,147.426967761814,20.3970922381862,20.3970922381862,16
12290,37829,a79b6,pm,5,ongoing,response,662908787,prom,2,12.4366966616898,16.9677488417627,-17.3368688417627,17.3368688417627,17
12291,37838,a79b6,pm,5,prom_spec,response,662908787,prom,3,-7.88399979025442,-72.0098847373627,174.009884737363,174.009884737363,18
12292,37847,a79b6,pm,5,ongoing,response,662908787,prom,4,-78.106562078327,60.7702025498979,-41.6774925498979,41.6774925498979,19
12293,37856,a79b6,pm,5,ongoing,response,662908787,prom,5,-43.4301815070527,-119.769359378003,-15.8729806219974,15.8729806219974,20
12294,37908,a79b6,pm,5,ongoing,response,662908787,ongoing,1,-149.692168115993,-141.545021548753,-0.487178451247246,0.487178451247246,21
12295,37917,a79b6,pm,5,ongoing,response,662908787,ongoing,2,-151.594402181821,-67.3903025478406,6.1556725478406,6.1556725478406,22
12296,37926,a79b6,pm,5,ongoing,response,662908787,ongoing,3,-38.0644655465769,-3.61189645062746,-7.8274735493726,7.8274735493726,23
12297,37935,a79b6,pm,5,ongoing,response,662908787,ongoing,4,-154.52486155161,139.288866997454,15.839623002546,15.839623002546,24
12298,37944,a79b6,pm,5,ongoing,response,662908787,ongoing,5,31.3550011903461,13.5409507926486,47.5932892073514,47.5932892073514,25
12299,37996,a79b6,pm,5,ongoing,response,662908787,ongoing,1,176.389758596466,-173.589352846013,5.96456284601345,5.96456284601345,26
12300,38005,a79b6,pm,5,ongoing,response,662908787,ongoing,2,41.1217954603837,94.5526244275242,56.2502655724759,56.2502655724759,27
12301,38014,a79b6,pm,5,ongoing,response,662908787,ongoing,3,-160.283079022122,-72.752215252791,18.185615252791,18.185615252791,28
12302,38023,a79b6,pm,5,ongoing,response,662908787,ongoing,4,-171.802340678895,-13.8093184274023,19.6306584274023,19.6306584274023,29
12303,38032,a79b6,pm,5,ongoing,response,662908787,ongoing,5,-74.9869890860424,22.4942635458968,-36.3411135458969,36.3411135458969,30
12304,38084,a79b6,pm,5,ongoing,response,662908787,ongoing,1,88.6372276676044,165.049146177042,19.0086998229583,19.0086998229583,31
12305,38093,a79b6,pm,5,ongoing,response,662908787,ongoing,2,-99.3514353874836,-89.2470289087041,6.76550690870408,6.76550690870408,32
